id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform
6596	Davison_2015_1GM	NS31/AML2	10.4136	0.6172	Africa	root	1728	forest	22.2	2432	3.6	2009	Begonia susaniae	SSU	454Roche
6597	Hiiesalu_2014_B288	NS31/AML2	-104.37	50.47	North America	root	399	grassland	3.1	407	NA_	2008	Hesperostipa comata;Carex duriuscula;Bouteloua gracilis	SSU	454Roche
6598	Wall_2020_1HX	WANDA/AML2	-155.325	19.8222	North America	soil	5096	forest	13.6	2952	NA_	2017	Rubus hawaiiensis	SSU	Illumina
6599	Wall_2020_1HX	WANDA/AML2	-155.301	19.833	North America	soil	7913	forest	14.6	3136	NA_	2017	Metrosideros polymorpha	SSU	Illumina
6600	Wall_2020_1HX	WANDA/AML2	-155.326	19.8215	North America	soil	4098	forest	13	2862	4.5	2017	Metrosideros polymorpha	SSU	Illumina
6601	Wall_2020_1HX	WANDA/AML2	-155.307	19.8329	North America	soil	4114	forest	14.6	3136	NA_	2017	Coprosma rhynchocarpa	SSU	Illumina
6602	Sheldrake_2017_1GS	NS31/AM1	-79.8434	9.11006	North America	root	2363	forest	26.1	2921	NA_	2013	Voyria tenella	SSU	454Roche
6603	Clavel_2021_1GT	AMV4.5NF/AMDGR	17.5949	68.162	Europe	root	19170	woodland	1.3	654	4.53	2017	Solidago virgaurea	SSU	Illumina
6604	RodriguezRamos_2021_1HT	WANDA/AML2	-119.099	56.2494	North America	soil	4737	forest	2.2	498	NA_	2016	Pinus contorta	SSU	Illumina
6605	Badi_2019_1AC	AMV4.5NF/AMDGR	32.7611	13.101	Africa	root	7901	cropland	28.7	333	8.17	2015	Sorghum bicolor	SSU	IonTorrent
6606	Sheldrake_2017_1GS	NS31/AM1	-79.8434	9.11006	North America	root	603	forest	26.1	2921	NA_	2012	Voyria tenella	SSU	454Roche
6607	Sheldrake_2017_1GS	NS31/AM1	-79.8434	9.11006	North America	root	1530	forest	26.1	2921	NA_	2013	Voyria tenella	SSU	454Roche
6608	Davison_2012_1IS	NS31/AML2	27.2624	58.2986	Europe	soil	5210	forest	5.8	624	NA_	2009	NA_	SSU	454Roche
6609	Johansen_2016_FC65	NS31/AML2	-124.139	40.9203	North America	root	46	shrubland	13.8	1229	6.5	2013	Ammophila arenaria	SSU	Illumina
6610	Davison_2018_1AQ	NS31/AML2	166.732	-22.1822	Australia	root	1811	shrubland	22.2	1720	4.3	2011	Lomandra insularis	SSU	454Roche
6611	Egan_2017_D213	NS31/AM1	-113.35	48.4667	North America	soil	202	tundra	1.6	874	NA_	NA_	Festuca scabrella;Festuca idahoensis;Pseudoroegneria spicata;Lupinus sericeus;Achillea millefolium;Dasiphora fruticosa;Abies lasiocarpa;Picea engelmannii	SSU	454Roche
6612	Wall_2020_1HX	WANDA/AML2	-155.318	19.8208	North America	soil	2672	forest	13.6	2952	NA_	2017	Pennisetum clandestinum	SSU	Illumina
6613	Wall_2020_1HX	WANDA/AML2	-155.31	19.8326	North America	soil	7700	forest	14.2	3051	NA_	2017	Rubus hawaiiensis	SSU	Illumina
6614	Wall_2020_1HX	WANDA/AML2	-155.31	19.8328	North America	soil	5103	forest	14.2	3051	4.9	2017	Coprosma rhynchocarpa	SSU	Illumina
6615	Wall_2020_1HX	WANDA/AML2	-155.307	19.8329	North America	soil	5049	forest	14.6	3136	4.6	2017	Metrosideros polymorpha	SSU	Illumina
6616	Borrell_2017_20D4	NS1/NS4 then AMV4.5NF/AMDGR	-107.683	50.3	North America	rhizosphere soil	3852	grassland	4	402	6.5	2012	Triticum aestivum 	SSU	454Roche
6617	Davison_2015_1GM	NS31/AML2	-71.4211	-52.058	South America	root	1495	grassland	6.3	344	5.5	2012	Taraxacum officinale	SSU	454Roche
6618	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6367	25.8586	Asia	root	45696	cropland	24.8	1920	6.525	2019	Oryza sativa	SSU	Illumina
6619	Davison_2018_1AQ	NS31/AML2	15.6167	78.2208	Europe	root	1032	tundra	-5.9	291	5.8	2009	Alopecurus magellanicus	SSU	454Roche
6620	Davison_2018_1AQ	NS31/AML2	-61.7317	16.1783	Europe	root	2705	forest	23.5	1986	4.1	2011	Podocarpus coriaceus	SSU	454Roche
6621	Davison_2015_1GM	NS31/AML2	-64.9405	-32.7689	South America	root	138	grassland	9.9	832	5.1	2007	Borreria eryngioides	SSU	454Roche
6622	Davison_2018_1AQ	NS31/AML2	16.4597	56.5389	Europe	root	2920	grassland	7.7	538	6.5	2010	Galium verum	SSU	454Roche
6623	Davison_2015_1GM	NS31/AML2	-104.617	50.7667	North America	root	97	grassland	3.1	412	6.2	2008	Solidago missouriensis	SSU	454Roche
6624	DeBellis_2019_EH	WANDA/AML2	-73.94	45.43	North America	root	995	forest	7.3	1025	5.97	2015	Acer platanoides	SSU	Illumina
6625	Davison_2015_1GM	NS31/AML2	28.5761	-24.7514	Africa	root	640	grassland	19.2	631	4.2	2010	Commelina benghalensis	SSU	454Roche
6626	Wall_2020_1HX	WANDA/AML2	-155.307	19.8329	North America	soil	1408	forest	14.6	3136	5.1	2017	Rubus hawaiiensis	SSU	Illumina
6627	Wall_2020_1HX	WANDA/AML2	-155.318	19.8208	North America	soil	4149	forest	13.6	2952	4.6	2017	Cheirodendron trigynum	SSU	Illumina
6628	Egan_2017_D213	NS31/AM1	-113.35	48.4667	North America	soil	36	grassland	1.6	874	NA_	NA_	Festuca scabrella;Festuca idahoensis;Pseudoroegneria spicata;Lupinus sericeus;Achillea millefolium;Dasiphora fruticosa;Abies lasiocarpa;Picea engelmannii	SSU	454Roche
6629	Davison_2015_1GM	NS31/AML2	10.4136	0.6172	Africa	root	258	forest	22.2	2432	NA_	2009	Musanga cecropioides	SSU	454Roche
6630	Chen_2017_E3D7	NS31/AML2	118.12	29.25	Asia	root	2763	forest	15.6	2110	NA_	2011	Alniphyllum fortunei	SSU	454Roche
6631	Davison_2015_1GM	NS31/AML2	10.3992	0.6172	Africa	root	67	forest	22.7	2080	3.5	2009	Podococcus barteri	SSU	454Roche
6632	RodriguezRamos_2021_1HT	WANDA/AML2	-116.593	54.2022	North America	soil	8605	forest	2.9	546	NA_	2016	Pinus contorta	SSU	Illumina
6633	Davison_2015_1GM	NS31/AML2	27.0864	69.7983	Europe	root	1069	tundra	-0.1	400	3.1	2008	Trientalis europaea	SSU	454Roche
6634	Davison_2015_1GM	NS31/AML2	73.1664	61.2536	Asia	root	434	forest	-1.5	569	4.8	2010	Linnaea borealis	SSU	454Roche
6635	Boeraeve_2019_1AJ	AMV4.5NF/AMDGR	4.99082	50.8866	Europe	soil	63067	forest	10.4	739	5.221	2018	Alnus glutinosa	SSU	Illumina
6636	Wall_2020_1HX	WANDA/AML2	-155.326	19.8215	North America	soil	5409	forest	13	2862	4.6	2017	Acacia koa	SSU	Illumina
6637	Vasar_2021_1HW	WANDA/AML2	-149.501	60.9994	North America	soil	6778	forest	3.3	659	5.3	2018	NA_	SSU	Illumina
6638	Davison_2018_1AQ	NS31/AML2	-148.226	-15.1242	Australia	root	2077	cropland	27	1872	7.3	2014	Microsorum scolopendria	SSU	454Roche
6639	Varela-Cervero_2015_C58B	NS31/AML2	-2.83333	37.4	Europe	root	668	shrubland	9.3	622	NA_	2011	Genista cinerea	SSU	454Roche
6640	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2752	grassland	7.7	890	6.65	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche
6641	RodriguezRamos_2021_1HT	WANDA/AML2	-118.486	54.1596	North America	soil	7859	forest	1.3	841	NA_	2016	Pinus contorta	SSU	Illumina
6642	Vasar_2021_1HW	WANDA/AML2	37.3586	-3.36194	Africa	soil	5385	forest	23.7	922	6.62	2016	NA_	SSU	Illumina
6643	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.669	25.8789	Asia	root	38172	cropland	24.8	1954	6.017	2019	Oryza sativa	SSU	Illumina
6644	Chen_2017_E3D7	NS31/AML2	118.12	29.25	Asia	root	2438	forest	15.6	2110	NA_	2011	Toxicodendron succedaneum	SSU	454Roche
6645	Davison_2015_1GM	NS31/AML2	10.3992	0.6172	Africa	root	93	forest	22.7	2080	3.5	2009	Polyalthia suaveolens	SSU	454Roche
6646	Wall_2020_1HX	WANDA/AML2	-155.305	19.8333	North America	soil	3466	forest	14.7	3141	NA_	2017	Rubus hawaiiensis	SSU	Illumina
6647	Davison_2015_1GM	NS31/AML2	28.6608	-24.6778	Africa	root	1529	grassland	19.5	581	6.2	2010	Digitaria eriantha	SSU	454Roche
6648	Chen_2018_1BU	NS1/NS4 then AML1/AML2	107.41	35.12	Asia	rhizosphere soil	7518	forest	9.7	750	7.9	2013	Platycladus orientalis	SSU	454Roche
6649	RodriguezRamos_2021_1HT	WANDA/AML2	-117.327	53.4129	North America	soil	5248	forest	1.4	740	NA_	2016	Pinus contorta	SSU	Illumina
6650	Davison_2015_1GM	NS31/AML2	159.912	56.06	Asia	root	841	forest	0	477	4.8	2010	Solidago spiraeifolia	SSU	454Roche
6651	Boeraeve_2019_1AK	AMV4.5NF/AMDGR	4.9361	50.8506	Europe	root	3250	forest	10.5	731	NA_	2017	Stachys sylvatica	SSU	Illumina
6652	Davison_2015_1GM	NS31/AML2	81.8992	22.3772	Asia	root	365	forest	25.2	1404	5.45	2011	Crotalaria albida	SSU	454Roche
6653	Clavel_2021_1GT	AMV4.5NF/AMDGR	17.5262	68.1603	Europe	root	5041	woodland	0.9	565	3.09	2017	NA_	SSU	Illumina
6654	Davison_2015_1GM	NS31/AML2	10.3992	0.6172	Africa	root	731	forest	22.7	2080	3.5	2009	Podococcus barteri	SSU	454Roche
6655	Hassan_2014_0837	NS1/NS41 then AML1/AML2	-73.37	45.72	North America	rhizosphere soil	1359	grassland	7.2	1020	7.4	2011	Salix eriocephala	SSU	454Roche
6656	Borrell_2017_20D4	NS1/NS4 then AMV4.5NF/AMDGR	-107.683	50.3	North America	rhizosphere soil	8243	grassland	4	402	6.5	2011	Cicer arietinum	SSU	454Roche
6657	RodriguezRamos_2021_1HT	WANDA/AML2	-117.331	53.8039	North America	soil	6166	forest	2.2	771	NA_	2016	Pinus contorta	SSU	Illumina
6658	Davison_2018_1AQ	NS31/AML2	2.74528	39.4083	Europe	root	1359	shrubland	17.3	616	7.2	2012	Santolina chamaecyparissus	SSU	454Roche
6659	Davison_2018_1AQ	NS31/AML2	-148.148	-15.0808	Australia	root	1636	forest	27	1810	8.2	2014	Cocos nucifera	SSU	454Roche
6660	Davison_2018_1AQ	NS31/AML2	15.8153	78.2006	Europe	root	67	tundra	-5.9	275	5.7	2009	Saxifraga cespitosa	SSU	454Roche
6661	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6804	25.8445	Asia	root	7320	cropland	24.8	1928	5.326	2019	Oryza sativa	SSU	Illumina
6662	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6102	25.8468	Asia	root	37024	cropland	24.8	1894	6.403	2019	Oryza sativa	SSU	Illumina
6663	Davison_2015_1GM	NS31/AML2	43.4192	41.9408	Asia	root	1234	forest	7.8	984	4.8	2010	Arum italicum	SSU	454Roche
6664	Davison_2015_1GM	NS31/AML2	10.0572	47.47	Europe	root	2928	grassland	5.6	2113	5.7	2011	Prunella vulgaris	SSU	454Roche
6665	Clavel_2021_1GT	AMV4.5NF/AMDGR	17.7893	68.3945	Europe	root	21401	woodland	-0.5	702	NA_	2017	NA_	SSU	Illumina
6666	RodriguezRamos_2021_1HT	WANDA/AML2	-117.726	53.9446	North America	soil	5465	forest	1.8	827	NA_	2016	Pinus contorta	SSU	Illumina
6667	RodriguezRamos_2021_1HT	WANDA/AML2	-116.593	54.2022	North America	soil	9525	forest	2.9	546	NA_	2016	Pinus contorta	SSU	Illumina
6668	Wall_2020_1HX	WANDA/AML2	-155.316	19.821	North America	soil	4676	forest	14	3042	NA_	2017	Rubus hawaiiensis	SSU	Illumina
6669	Davison_2015_1GM	NS31/AML2	73.148	61.2603	Asia	root	917	forest	-1.5	561	4.1	2010	Solidago virgaurea	SSU	454Roche
6670	Wall_2020_1HX	WANDA/AML2	-155.326	19.8215	North America	soil	5356	forest	13	2862	4.8	2017	Acacia koa	SSU	Illumina
6671	Hiiesalu_2014_B288	NS31/AML2	-104.37	50.47	North America	root	648	grassland	3.1	407	NA_	2008	Hesperostipa comata;Carex duriuscula;Bouteloua gracilis	SSU	454Roche
6672	Wall_2020_1HX	WANDA/AML2	-155.307	19.8329	North America	soil	2766	forest	14.6	3136	4.8	2017	Coprosma rhynchocarpa	SSU	Illumina
6673	Davison_2015_1GM	NS31/AML2	34.7114	30.5933	Asia	root	1016	desert	16.9	114	NA_	2009	Asphodelus ramosus	SSU	454Roche
6674	Wall_2020_1HX	WANDA/AML2	-155.305	19.8333	North America	soil	5953	forest	14.7	3141	NA_	2017	Cheirodendron trigynum	SSU	Illumina
6675	Davison_2015_1GM	NS31/AML2	10.3992	0.6172	Africa	root	164	forest	22.7	2080	3.5	2009	Begonia susaniae	SSU	454Roche
6676	Davison_2018_1AQ	NS31/AML2	166.729	-22.1836	Australia	root	608	shrubland	22.5	1590	6	2011	Scaevola beckii	SSU	454Roche
6677	Davison_2018_1AQ	NS31/AML2	166.729	-22.1836	Australia	root	936	shrubland	22.5	1590	6	2011	Scaevola beckii	SSU	454Roche
6678	Davison_2015_1GM	NS31/AML2	34.7114	30.5933	Asia	root	170	desert	16.9	114	NA_	2009	Asphodelus ramosus	SSU	454Roche
6679	Davison_2015_1GM	NS31/AML2	138.665	-35.1175	Australia	root	129	forest	14.6	775	4	2009	Olearia sp.	SSU	454Roche
6680	Clavel_2021_1GT	AMV4.5NF/AMDGR	17.4845	68.146	Europe	root	4963	woodland	-0.9	655	3.64	2017	NA_	SSU	Illumina
6681	Davison_2015_1GM	NS31/AML2	10.4136	0.6172	Africa	root	23	forest	22.2	2432	NA_	2009	Musanga cecropioides	SSU	454Roche
6682	Davison_2018_1AQ	NS31/AML2	-23.6867	15.1781	Africa	root	1628	shrubland	20.6	335	5.2	2009	Campanula jacobaea	SSU	454Roche
6683	Davison_2015_1GM	NS31/AML2	23.568	58.5839	Europe	root	1126	grassland	6.6	586	7	2008	Anemone hepatica	SSU	454Roche
6684	Wall_2020_1HX	WANDA/AML2	-155.326	19.8219	North America	soil	8337	forest	13	2862	4.6	2017	Acacia koa	SSU	Illumina
6685	Rasmussen_2018_C8E6	NS31/AML2	19.9239	60.3447	Europe	soil	27683	grassland	6.1	569	6.1	2015	Plantago lanceolata	SSU	Illumina
6686	Davison_2015_1GM	NS31/AML2	34.7122	30.5928	Asia	root	770	desert	16.9	114	NA_	2009	Helianthemum viscarium	SSU	454Roche
6687	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6435	25.8311	Asia	root	4337	cropland	24.8	1897	5.795	2019	Oryza sativa	SSU	Illumina
6688	Davison_2015_1GM	NS31/AML2	158.672	53.0403	Asia	root	293	forest	1.9	977	4.5	2010	Calamagrostis purpurea	SSU	454Roche
6689	Hiiesalu_2014_B288	NS31/AML2	-104.37	50.47	North America	root	1760	grassland	3.1	407	NA_	2008	Hesperostipa comata;Carex duriuscula;Bouteloua gracilis	SSU	454Roche
6690	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6876	25.8517	Asia	root	5651	cropland	24.8	1946	5.723	2019	Oryza sativa	SSU	Illumina
6691	RodriguezRamos_2021_1HT	WANDA/AML2	-119.999	54.6689	North America	soil	8949	forest	2.3	538	NA_	2016	Pinus contorta	SSU	Illumina
6692	RodriguezRamos_2021_1HT	WANDA/AML2	-117.726	53.9446	North America	soil	4827	forest	1.8	827	NA_	2016	Pinus contorta	SSU	Illumina
6693	Hiiesalu_2014_B288	NS31/AML2	-104.37	50.47	North America	root	2987	grassland	3.1	407	NA_	2008	Hesperostipa comata;Carex duriuscula;Bouteloua gracilis	SSU	454Roche
6694	Chen_2017_E3D7	NS31/AML2	118.12	29.25	Asia	root	1376	forest	15.6	2110	NA_	2011	Photinia glabra	SSU	454Roche
6695	Correia_2019_1AP	NS31/AML2	34.3515	-18.9777	Africa	root	2077	woodland	24.5	1005	NA_	2015	Boerhavia diffusa	SSU	454Roche
6696	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6741	25.8563	Asia	root	37222	cropland	24.8	1950	5.499	2019	Oryza sativa	SSU	Illumina
6697	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.6669	25.8938	Asia	root	20982	cropland	24.8	1983	6.108	2019	Oryza sativa	SSU	Illumina
6698	Anthony_2020_mBY	NS31/AML2	-72.1875	42.4836	North America	soil	114739	forest	8.8	1345	4.2	2016	Quercus rubra;Quercus velutina;Acer rubrum;Acer pensylvanicum;Fagus grandifolia;Betula papyrifera	SSU	Illumina
6699	Davison_2015_1GM	NS31/AML2	-71.4211	-52.058	South America	root	1256	grassland	6.3	344	5.5	2012	Geranium sessiliflorum	SSU	454Roche
6700	Wall_2020_1HX	WANDA/AML2	-155.325	19.8222	North America	soil	5520	forest	13.6	2952	NA_	2017	Myrsine lessertiana	SSU	Illumina
6701	Davison_2015_1GM	NS31/AML2	158.672	53.0403	Asia	root	1421	forest	1.9	977	4.5	2010	Calamagrostis purpurea	SSU	454Roche
6702	Davison_2015_1GM	NS31/AML2	-1.2481	43.5911	Europe	root	1174	forest	14.4	1374	NA_	2008	Arum italicum	SSU	454Roche
6703	Davison_2018_1AQ	NS31/AML2	23.8008	35.4592	Europe	root	1117	woodland	18.1	744	6.2	2009	Hypericum empetrifolium	SSU	454Roche
6704	Davison_2015_1GM	NS31/AML2	-71.4225	-52.055	South America	root	2512	grassland	6.3	344	5.3	2012	Agrostis perennans	SSU	454Roche
6705	Wall_2020_1HX	WANDA/AML2	-155.325	19.8222	North America	soil	1314	forest	13.6	2952	NA_	2017	Pennisetum clandestinum	SSU	Illumina
6706	Davison_2015_1GM	NS31/AML2	100.465	16.8594	Asia	root	1631	forest	27	1519	4.6	2009	Elephantopus scaber	SSU	454Roche
6707	Wall_2020_1HX	WANDA/AML2	-155.307	19.8329	North America	soil	3073	forest	14.6	3136	4.4	2017	Cheirodendron trigynum	SSU	Illumina
6708	Van-Geel_2015_2D2A	AMV4.5NF/AMDGR	4.6	51.17	Europe	root	6809	cropland	10.5	789	5.6	2012	Malus domestica	SSU	454Roche
6709	Wall_2020_1HX	WANDA/AML2	-155.301	19.833	North America	soil	2818	forest	14.6	3136	5.2	2017	Coprosma rhynchocarpa	SSU	Illumina
6710	Wall_2020_1HX	WANDA/AML2	-155.325	19.8222	North America	soil	6140	forest	13.6	2952	NA_	2017	Metrosideros polymorpha	SSU	Illumina
6711	Correia_2019_1AP	NS31/AML2	34.2415	-19.0033	Africa	root	607	woodland	24.2	1120	NA_	2014	Hyphaene natalensis 	SSU	454Roche
6712	Davison_2018_1AQ	NS31/AML2	23.8008	35.4592	Europe	root	800	woodland	18.1	744	6.2	2009	Helichrysum stoechas	SSU	454Roche
6713	Wang_2021_1GZ	AMV4.5NF/AMDGR	119.482	29.0308	Asia	soil	69910	cropland	18.4	1462	4.41	2014	Citrus paradisi	SSU	Illumina
6714	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.5902	25.8672	Asia	root	5445	cropland	24.8	1936	6.378	2019	Oryza sativa	SSU	Illumina
6715	Davison_2015_1GM	NS31/AML2	100.465	16.8594	Asia	root	1166	forest	27	1519	5.2	2009	Lygodium flexuosum	SSU	454Roche
6716	Davison_2018_1AQ	NS31/AML2	-15.3661	64.4128	Europe	root	970	tundra	2.2	1384	5	2011	Rubus saxatilis	SSU	454Roche
6717	RodriguezEcheverria_2017_6B29	NS31/AML2	34.4574	-18.934	Africa	soil	1994	grassland	24.5	1006	4.19	2014	Cynodon dactylon;Digitaria swazilandensis;Setaria incrassata;Megathyrsus maximus;Chrysopogon nigritanus 	SSU	454Roche
6718	Egan_2017_D213	NS31/AM1	-113.35	48.4667	North America	soil	145	tundra	1.6	874	NA_	NA_	Festuca scabrella;Festuca idahoensis;Pseudoroegneria spicata;Lupinus sericeus;Achillea millefolium;Dasiphora fruticosa;Abies lasiocarpa;Picea engelmannii	SSU	454Roche
6719	Davison_2015_1GM	NS31/AML2	151.214	-33.6753	Australia	root	647	forest	17	1316	3.9	2010	Actinotus minor	SSU	454Roche
6720	Davison_2015_1GM	NS31/AML2	-52.21	4.5542	South America	root	92	forest	24.5	4062	3.7	2007	Cecropia obtusa	SSU	454Roche
6721	Davison_2015_1GM	NS31/AML2	158.67	53.0425	Asia	root	2185	forest	2	929	4.2	2010	Calamagrostis purpurea	SSU	454Roche
6722	Davison_2018_1AQ	NS31/AML2	-23.6908	15.1803	Africa	root	496	shrubland	20.6	335	5.2	2009	Umbilicus schmidtii	SSU	454Roche
6723	Vasar_2021_1HW	WANDA/AML2	-79.0708	36.0358	North America	soil	17041	forest	15.3	1118	3.6	2012	NA_	SSU	Illumina
6724	Davison_2018_1AQ	NS31/AML2	-23.6908	15.1803	Africa	root	164	shrubland	20.6	335	5.2	2009	Daucus annuus	SSU	454Roche
6725	Boeraeve_2019_1AJ	AMV4.5NF/AMDGR	4.97498	50.8662	Europe	root	27700	forest	10.5	738	6.122	2018	Alnus glutinosa	SSU	Illumina
6726	Wall_2020_1HX	WANDA/AML2	-155.305	19.833	North America	soil	3157	forest	14.6	3136	4.6	2017	Rubus hawaiiensis	SSU	Illumina
6727	Wall_2020_1HX	WANDA/AML2	-155.305	19.833	North America	soil	1956	forest	14.6	3136	4	2017	Myrsine lessertiana	SSU	Illumina
6728	Davison_2015_1GM	NS31/AML2	73.148	61.2603	Asia	root	677	forest	-1.5	561	4.1	2010	Geranium sylvaticum	SSU	454Roche
6729	Wall_2020_1HX	WANDA/AML2	-155.326	19.8219	North America	soil	3365	forest	13	2862	4.6	2017	Myrsine lessertiana	SSU	Illumina
6730	Wall_2020_1HX	WANDA/AML2	-155.305	19.8333	North America	soil	7134	forest	14.7	3141	NA_	2017	Cheirodendron trigynum	SSU	Illumina
6731	Davison_2015_1GM	NS31/AML2	43.4233	41.9333	Asia	root	468	forest	7.8	984	4.2	2010	Cardamine bulbifera	SSU	454Roche
6732	Davison_2015_1GM	NS31/AML2	43.4233	41.9333	Asia	root	175	forest	7.8	984	4.2	2010	Polygonatum glaberrimum	SSU	454Roche
6733	Wall_2020_1HX	WANDA/AML2	-155.305	19.8333	North America	soil	3745	forest	14.7	3141	3.7	2017	Metrosideros polymorpha	SSU	Illumina
6734	Wall_2020_1HX	WANDA/AML2	-155.305	19.833	North America	soil	3169	forest	14.6	3136	4	2017	Myrsine lessertiana	SSU	Illumina
6735	Wall_2020_1HX	WANDA/AML2	-155.325	19.8222	North America	soil	5415	forest	13.6	2952	4.9	2017	Coprosma rhynchocarpa	SSU	Illumina
6736	Wall_2020_1HX	WANDA/AML2	-155.301	19.833	North America	soil	2304	forest	14.6	3136	NA_	2017	Pennisetum clandestinum	SSU	Illumina
6737	Parvin_2021_1HR	AMV4.5NF/AMDGR	88.599	25.8571	Asia	root	13154	cropland	24.8	1905	6.314	2019	Oryza sativa	SSU	Illumina
6738	Wall_2020_1HX	WANDA/AML2	-155.31	19.8328	North America	soil	6480	forest	14.2	3051	4	2017	Metrosideros polymorpha	SSU	Illumina
6739	Wall_2020_1HX	WANDA/AML2	-155.31	19.8328	North America	soil	4073	forest	14.2	3051	4.4	2017	Metrosideros polymorpha	SSU	Illumina
6740	Wall_2020_1HX	WANDA/AML2	-155.326	19.8215	North America	soil	1089	forest	13	2862	4.8	2017	Myrsine lessertiana	SSU	Illumina
