id,paper_id,primers,longitude,latitude,continent,sample_type,Biome,marker_size,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,Sample,Spring/Fall,Original_Sample_ID,Original,Sample,ID,sitePlot,Plot_Loc,Plot_Loc_Rep,Country,State,Site,Remnant,LUH,Depth_cm,SiteLat,SiteLong,CoordLat,CoordLong
MAPS_FA18_EKS_A03_S075,Ramos_2024,LROR/FLR2,-95.247549,38.538672,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_126_S126_L001,Fall,EKS_A03_S075,EKS,A03,S075,EKS_A03,EKS_A,3,US,KS,EKS,No,A,75,38.181,-95.273,38.538672,-95.247549
MAPS_FA18_EKS_A03_S120,Ramos_2024,LROR/FLR2,-95.247549,38.538672,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_130_S130_L001,Fall,EKS_A03_S120,EKS,A03,S120,EKS_A03,EKS_A,3,US,KS,EKS,No,A,120,38.181,-95.273,38.538672,-95.247549
MAPS_FA18_EKS_A04_S005,Ramos_2024,LROR/FLR2,-95.247167,38.538658,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_134_S134_L001,Fall,EKS_A04_S005,EKS,A04,S005,EKS_A04,EKS_A,4,US,KS,EKS,No,A,5,38.181,-95.273,38.538658,-95.247167
MAPS_FA18_EKS_A04_S015,Ramos_2024,LROR/FLR2,-95.247167,38.538658,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_119_S119_L001,Fall,EKS_A04_S015,EKS,A04,S015,EKS_A04,EKS_A,4,US,KS,EKS,No,A,15,38.181,-95.273,38.538658,-95.247167
MAPS_FA18_EKS_A04_S030,Ramos_2024,LROR/FLR2,-95.247167,38.538658,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_124_S124_L001,Fall,EKS_A04_S030,EKS,A04,S030,EKS_A04,EKS_A,4,US,KS,EKS,No,A,30,38.181,-95.273,38.538658,-95.247167
MAPS_FA18_EKS_A04_S120,Ramos_2024,LROR/FLR2,-95.247167,38.538658,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_122_S122_L001,Fall,EKS_A04_S120,EKS,A04,S120,EKS_A04,EKS_A,4,US,KS,EKS,No,A,120,38.181,-95.273,38.538658,-95.247167
MAPS_FA18_EKS_N01_S015,Ramos_2024,LROR/FLR2,-95.272617,38.181233,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_52_S52_L001,Fall,EKS_N01_S015,EKS,N01,S015,EKS_N01,EKS_N,1,US,KS,EKS,Yes,N,15,38.181,-95.273,38.181233,-95.272617
MAPS_FA18_EKS_N01_S030,Ramos_2024,LROR/FLR2,-95.272617,38.181233,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_53_S53_L001,Fall,EKS_N01_S030,EKS,N01,S030,EKS_N01,EKS_N,1,US,KS,EKS,Yes,N,30,38.181,-95.273,38.181233,-95.272617
MAPS_FA18_EKS_N01_S075,Ramos_2024,LROR/FLR2,-95.272617,38.181233,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_40_S40_L001,Fall,EKS_N01_S075,EKS,N01,S075,EKS_N01,EKS_N,1,US,KS,EKS,Yes,N,75,38.181,-95.273,38.181233,-95.272617
MAPS_FA18_EKS_N02_S005,Ramos_2024,LROR/FLR2,-95.272367,38.18125,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_33_S33_L001,Fall,EKS_N02_S005,EKS,N02,S005,EKS_N02,EKS_N,2,US,KS,EKS,Yes,N,5,38.181,-95.273,38.18125,-95.272367
